Partlist exported from C:/Users/shotp/Documents/GitHub/MotorController-Gimbal-Powerboard/Gimbal Board/GimbalMotorController2017.sch at 1/24/2018 7:39 PM

Part Value                    Device                   Package                Description                                   BOM COLOR1 COLOR2 OPERATING_VOLTAGE ORIENT PARTNO     PROD_ID     VALUE
C1   6800p                    CAP0805                  0805                   Capacitor                                                                                                            
C2   120p                     CAP0805                  0805                   Capacitor                                                                                                            
C3   2.2u                     CAP1206                  1206                   Capacitor                                                                                                            
C4   .022u                    CAP0805                  0805                   Capacitor                                                                                                            
C5   1u                       CAP0805                  0805                   Capacitor                                                                                                            
C6   2200p                    CAP0805                  0805                   Capacitor                                                                                                            
C7   2200p                    CAP0805                  0805                   Capacitor                                                                                                            
C8   1u                       CAP0805                  0805                   Capacitor                                                                                                            
C9   0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C10  4.7u                     CAP1206                  1206                   Capacitor                                                                                                            
C11  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C12  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C13  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C14  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C15  220u                     CAP_POLPTH4              CPOL-RADIAL-1000UF-25V Capacitor Polarized                                                                                                  
C16  0.015u                   CAP0805                  0805                   Capacitor                                                                                                            
C17  4.7u                     CAP1206                  1206                   Capacitor                                                                                                            
C18  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C19  2.2u                     CAP1206                  1206                   Capacitor                                                                                                            
C20  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C21  1000p                    CAP0805                  0805                   Capacitor                                                                                                            
C22  2.2u                     CAP1206                  1206                   Capacitor                                                                                                            
C23  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C24  1000p                    CAP0805                  0805                   Capacitor                                                                                                            
C25  2.2u                     CAP1206                  1206                   Capacitor                                                                                                            
C26  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C29  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C30  0.01u                    CAP0805                  0805                   Capacitor                                                                                                            
C31  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C32  1u                       CAP0805                  0805                   Capacitor                                                                                                            
C33  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C36  47u                      CAP_POLPTH1              CPOL-RADIAL-100UF-25V  Capacitor Polarized                                                                                                  
C37  220u                     CAP_POLPTH4              CPOL-RADIAL-1000UF-25V Capacitor Polarized                                                                                                  
C44  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C45  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C46  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C47  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
C48  0.1u                     CAP0805                  0805                   Capacitor                                                                                                            
D1   DIODE-ZENERSMB           DIODE-ZENERSMB           SMB-DIODE              Zener Diode                                                                                                          
D6                            LED1206                  LED-1206               LEDs                                                                                                                 
D7                            LED1206                  LED-1206               LEDs                                                                                                                 
D8                            LED1206                  LED-1206               LEDs                                                                                                                 
D9                            LED1206                  LED-1206               LEDs                                                                                                                 
D10  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
D11  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
D12  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
D13  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
D14  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
D15  15V                      DIODE-ZENER3.3V          SOD-323                Zener Diode                                                                                         DIO-11284   3.3V 
J1   SL03THROUGH_HOLE         SL03THROUGH_HOLE         MOLEX_SL_03_TH         Molex 3-pin SL connector                                                          HORIZ  0705550002                  
J2   APP_2POS_CONFIG12V_HORIZ APP_2POS_CONFIG12V_HORIZ APP45_12V_HORIZ_CONFIG                                                   YELLOW BLACK                                                       
Q1   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q2   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q3   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q4   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q5   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q6   R6020ENJSMD              R6020ENJSMD              D2PACK                 40V 195A N-CH MOSFET switch with heatsink                                                                            
Q7   MOSFET-PCHANNEL          MOSFET-PCHANNEL          SOT23-3                Generic PMOSFET                                                                                     TRANS-08285      
Q8   MOSFET-PCHANNEL          MOSFET-PCHANNEL          SOT23-3                Generic PMOSFET                                                                                     TRANS-08285      
R1   205k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R2   16.2k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R3   31.6k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R4   10k                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R5   10k                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R6   10k                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R7   10k                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R8   150k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R9   56                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R10  56                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R11  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R12  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R13  .001                     RESISTOR1206             1206                   Resistor                                                                                                             
R14  187k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R15  68.1k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R16  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R17  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R18  .001                     RESISTOR1206             1206                   Resistor                                                                                                             
R19  187k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R20  68.1k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R21  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R22  10                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R23  3.3                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R24  187k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R25  68.1k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R26  187k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R27  68.1k                    RESISTOR0805-RES         0805                   Resistor                                                                                                             
R28  1k                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R29  1k                       RESISTOR0805-RES         0805                   Resistor                                                                                                             
R32  1.2k                     RESISTOR0805-RES         0805                   Resistor                                                                                                             
R33  330                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R34  330                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
R35  330                      RESISTOR0805-RES         0805                   Resistor                                                                                                             
SH1  SHORT-HT5                SHORT-HT5                SHORT_TOP-50           Short between two nets                        no                                                                     
SH2  SHORT-HT5                SHORT-HT5                SHORT_TOP-50           Short between two nets                        no                                                                     
U$1  DRV8301                  DRV8301                  TFSOP-56                                                                                                                                    
U$2  TIVA-C                   TIVA-C                   TIVA-C                 TIVA-C DEV BOARD (NON-CONNECTED)                                                                                     
U$3  TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$4  5PIN                     5PIN                     5PIN                                                                                                                                        
U$5  APPPP45_PCB_HORIZ_RIGHT  APPPP45_PCB_HORIZ_RIGHT  APP45_PCB_HORIZ_RIGHT  http://www.powerwerx.com/anderson-powerpoles/                                                                        
U$6  APPPP45_PCB_HORIZ_RIGHT  APPPP45_PCB_HORIZ_RIGHT  APP45_PCB_HORIZ_RIGHT  http://www.powerwerx.com/anderson-powerpoles/                                                                        
U$7  APPPP45_PCB_HORIZ_RIGHT  APPPP45_PCB_HORIZ_RIGHT  APP45_PCB_HORIZ_RIGHT  http://www.powerwerx.com/anderson-powerpoles/                                                                        
U$10 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$12 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$14 33u                      INDUCTOR_DR74            INDUCTOR_DR74                                                                                                                               
U$15 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$16 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$17 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$18 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$19 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$20 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$24 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$25 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$26 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$27 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$28 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U$29 TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM     TEST_POINT_0.1INDIAM                                                                                                                        
U1   NUP4201MR6               NUP4201MR6               TSOP-6                                                                                                                                      
U2   MAX3232D                 MAX3232D                 SOIC16                                                                                 3V3                                                  
























































































































































































































































































































































